Year, Market,  Pool, AmountEmittedOrRetained
5, 0, 9999, 170.415980928537
5, 0, 2999, 3.1887936169189
6, 0, 9999, 177.895776132627
6, 0, 2999, 3.27729772176089
7, 0, 9999, 183.602323462633
7, 0, 2999, 3.2966723471907
8, 0, 9999, 186.972165677876
8, 0, 2999, 3.26804092151644
9, 0, 9999, 223.489878440543
9, 0, 2999, 3.87830633868566
10, 0, 9999, 229.224170183382
10, 0, 2999, 3.91170939921505
11, 0, 9999, 233.161454261104
11, 0, 2999, 3.87109167083738
12, 0, 9999, 235.434101924354
12, 0, 2999, 3.79839109483028
13, 0, 9999, 236.514740080864
13, 0, 2999, 3.70501083784671
14, 0, 9999, 236.783648845218
14, 0, 2999, 3.59891472928761
15, 0, 9999, 236.508090537426
15, 0, 2999, 3.48563992134416
16, 0, 9999, 235.875507725888
16, 0, 2999, 3.36901268759576
17, 0, 9999, 235.016939028141
17, 0, 2999, 3.25165404961067
18, 0, 9999, 234.023686446354
18, 0, 2999, 3.13533750669626
19, 0, 9999, 232.95897273157
19, 0, 2999, 3.0212412675814
20, 0, 9999, 76.9035581294994
1, 0, 1005, 1.11466489081662
2, 0, 1005, 1.02275707390077
3, 0, 1005, 1.13409642619134
4, 0, 1005, 0.841709049530879
5, 0, 1005, 1.09331297222806
6, 0, 1005, 0.824452170615912
7, 0, 1005, 0.607208102330661
8, 0, 1005, 0.451053084836841
9, 0, 1005, 0.833092984841508
10, 0, 1005, 0.672201568327436
11, 0, 1005, 0.50148005700172
12, 0, 1005, 0.380548183329506
13, 0, 1005, 0.294824656273
14, 0, 1005, 0.233998931502264
15, 0, 1005, 0.190780338766894
16, 0, 1005, 0.160013581377109
17, 0, 1005, 0.138053299887841
18, 0, 1005, 0.122321821837553
19, 0, 1005, 0.11099644358857
